camera      0 0 5    0 0 0       0 1 0  45
sphere 0.65 0.92 0.79     1     0     -7.0 -2.8 -4.7     0.2
sphere 0.63 0.25 0.77     1     0     -4.9 9.9 -5.6     0.9
sphere 0.25 0.45 0.9     1     0     0.4 -2.5 -5.0     0.1
sphere 0.7 0.63 0.26     1     0     7.6 2.3 -6.1     0.4
sphere 0.0 0.01 0.85     1     0     -7.8 -7.2 -9.3     0.8
sphere 0.19 0.11 0.99     1     0     3.0 -8.1 -8.6     0.2
sphere 0.32 0.82 0.29     1     0     1.6 -2.5 -5.6     0.8
sphere 0.06 0.12 0.22     1     0     -9.0 -2.6 -6.3     0.6
sphere 0.54 0.94 0.14     1     0     -7.6 9.4 -9.6     0.1
sphere 0.01 0.17 0.84     1     0     6.5 -5.7 -6.1     0.6
sphere 0.56 0.79 0.34     1     0     8.7 -7.7 -6.3     0.6
sphere 0.23 0.14 0.51     1     0     0.2 1.6 -5.7     0.7
sphere 0.88 0.61 0.53     1     0     6.6 -5.8 -4.7     0.3
sphere 0.89 0.92 0.07     1     0     -6.0 -7.4 -6.6     0.8
sphere 0.72 0.86 0.56     1     0     -5.4 5.6 -6.4     0.6
sphere 0.78 0.03 0.87     1     0     8.6 -6.7 -7.0     0.8
sphere 0.14 0.52 0.56     1     0     -8.9 -8.4 -5.6     0.6
sphere 0.01 0.9 0.86     1     0     3.4 9.6 -8.7     0.4
sphere 0.85 0.43 0.66     1     0     3.3 7.6 -8.4     0.2
sphere 0.55 0.84 0.93     1     0     -3.7 2.3 -6.2     0.7
sphere 0.19 0.71 0.78     1     0     -8.7 -9.8 -8.1     0.3
sphere 0.64 0.6 0.63     1     0     -5.8 -8.1 -8.8     0.8
sphere 0.41 0.3 0.42     1     0     -2.9 -8.8 -7.2     0.4
sphere 0.7 0.82 0.48     1     0     0.3 -4.0 -4.5     0.8
sphere 0.56 0.73 0.57     1     0     -7.8 2.7 -6.8     0.6
sphere 0.15 0.63 0.95     1     0     6.7 -9.6 -4.6     0.7
sphere 0.52 0.04 0.71     1     0     4.0 -10.0 -9.2     0.2
sphere 0.77 0.79 0.81     1     0     -2.3 3.0 -7.5     0.4
sphere 0.83 0.85 0.58     1     0     -1.3 -0.7 -9.2     0.1
sphere 0.28 0.58 0.42     1     0     4.3 9.6 -7.9     0.8
sphere 0.91 0.84 0.46     1     0     8.3 1.5 -4.7     0.2
sphere 0.97 0.84 0.28     1     0     -10.0 -1.3 -6.2     0.5
sphere 0.7 0.66 0.47     1     0     7.9 -7.3 -4.2     0.3
sphere 0.63 0.17 0.91     1     0     9.0 8.4 -6.6     0.2
sphere 0.32 0.78 0.25     1     0     -5.2 -7.0 -9.9     0.7
sphere 0.27 0.58 0.24     1     0     8.3 -1.4 -4.6     0.7
sphere 0.05 0.81 0.86     1     0     5.0 -6.9 -8.9     0.8
sphere 0.58 0.84 0.75     1     0     2.9 -6.6 -7.1     0.1
sphere 0.67 0.94 0.06     1     0     4.1 1.0 -9.3     0.8
sphere 0.65 0.99 0.22     1     0     7.7 4.8 -5.1     0.3
sphere 0.13 0.49 0.84     1     0     5.3 5.5 -9.6     0.6
sphere 0.64 0.49 0.53     1     0     5.5 7.7 -8.8     0.4
sphere 0.35 0.5 0.43     1     0     -2.5 1.5 -9.1     0.3
sphere 0.17 0.52 0.77     1     0     7.9 9.1 -7.2     0.5
sphere 0.89 0.7 0.4     1     0     8.2 8.8 -9.9     0.9
sphere 0.8 0.27 0.25     1     0     -4.7 5.9 -8.5     0.5
sphere 0.87 0.44 0.86     1     0     -6.7 8.1 -8.1     0.3
sphere 0.64 0.69 0.88     1     0     6.3 -1.8 -8.5     0.2
sphere 0.97 0.45 0.71     1     0     2.2 4.9 -7.6     0.7
sphere 0.86 0.95 0.68     1     0     -2.7 0.8 -9.1     0.1
sphere 0.66 0.13 0.03     1     0     -0.3 -6.3 -4.3     0.1
sphere 0.25 0.34 0.96     1     0     -5.9 -2.7 -8.3     0.5
sphere 0.18 0.07 0.88     1     0     -2.5 -4.8 -8.8     0.9
sphere 0.04 0.45 0.57     1     0     -7.4 5.7 -9.5     0.9
sphere 0.28 0.95 0.82     1     0     4.3 -0.1 -5.5     0.9
sphere 0.89 0.36 0.88     1     0     7.0 -8.8 -9.9     0.7
sphere 0.49 0.53 0.87     1     0     -2.0 4.1 -4.3     0.1
sphere 0.95 0.32 0.25     1     0     5.8 9.9 -9.5     0.8
sphere 0.28 0.81 0.9     1     0     8.1 6.5 -6.3     0.9
sphere 0.94 0.77 0.25     1     0     9.8 8.5 -5.2     0.5
sphere 0.57 0.22 0.87     1     0     -8.1 -5.3 -5.1     0.9
sphere 0.15 0.48 0.05     1     0     0.9 -2.9 -7.5     0.5
sphere 0.16 0.2 0.74     1     0     -3.5 -9.9 -6.1     0.8
sphere 0.9 0.19 0.05     1     0     -6.1 -1.8 -7.8     0.1
sphere 0.99 0.8 0.78     1     0     6.9 -2.3 -7.1     0.9
sphere 0.45 0.09 0.9     1     0     -1.9 3.4 -5.4     0.3
sphere 0.66 0.08 0.64     1     0     -6.0 0.6 -7.4     0.9
sphere 0.51 0.11 0.44     1     0     -4.4 -4.6 -8.2     0.6
sphere 0.42 0.46 0.37     1     0     -4.5 9.2 -7.9     0.9
sphere 0.6 0.71 0.96     1     0     6.6 -9.8 -4.7     0.6
sphere 0.57 0.3 0.82     1     0     5.7 5.9 -5.5     0.1
sphere 0.87 0.41 0.48     1     0     -7.1 -0.2 -5.6     0.9
sphere 0.92 0.36 0.03     1     0     3.2 9.7 -6.3     0.9
sphere 0.65 0.57 0.62     1     0     -8.9 -2.5 -9.7     0.4
sphere 0.41 0.65 0.1     1     0     -7.6 -5.8 -8.9     0.9
sphere 0.68 0.0 0.8     1     0     -8.4 -4.7 -8.2     0.4
sphere 0.87 0.54 0.13     1     0     -4.8 3.7 -9.3     0.7
sphere 0.82 0.09 0.95     1     0     7.5 -6.1 -4.1     0.8
sphere 0.91 0.42 0.04     1     0     -7.8 -8.2 -4.3     0.3
sphere 0.32 0.71 0.09     1     0     4.7 -4.2 -9.8     0.5
sphere 0.52 0.49 0.57     1     0     6.1 0.3 -6.7     0.6
sphere 0.02 0.49 0.86     1     0     -7.0 3.6 -4.0     0.2
sphere 0.96 0.95 0.74     1     0     -8.9 7.9 -9.4     0.2
sphere 0.45 0.64 0.13     1     0     -2.6 7.5 -5.9     0.2
sphere 0.36 0.97 0.56     1     0     -0.3 0.1 -9.2     0.1
sphere 0.6 0.2 0.68     1     0     -4.4 -6.6 -8.7     0.7
sphere 0.69 0.37 0.81     1     0     -6.4 -2.4 -8.3     0.6
sphere 0.01 0.7 0.71     1     0     -6.4 -6.9 -4.2     0.1
sphere 0.73 0.76 0.5     1     0     3.7 4.0 -4.5     0.5
sphere 0.26 0.95 0.94     1     0     8.5 -1.2 -5.3     0.7
sphere 0.82 0.65 0.18     1     0     -5.9 -5.3 -5.4     0.5
sphere 0.24 0.14 0.23     1     0     7.1 4.5 -9.4     0.1
sphere 0.96 0.7 0.59     1     0     6.5 4.0 -4.4     0.5
sphere 0.85 0.08 0.32     1     0     -7.5 -5.0 -8.6     0.8
sphere 0.42 0.45 0.16     1     0     7.1 6.7 -5.5     0.2
sphere 0.36 0.79 0.08     1     0     -5.1 -1.9 -7.1     0.8
sphere 0.42 0.78 0.84     1     0     -2.2 7.7 -7.7     0.3
sphere 0.72 0.72 0.46     1     0     -2.0 0.9 -5.0     0.1
sphere 0.4 0.31 0.28     1     0     8.2 8.9 -8.1     0.7
sphere 0.35 0.46 0.17     1     0     7.3 8.7 -6.1     0.8
sphere 0.59 0.57 0.45     1     0     9.8 -2.2 -7.1     0.9
sphere 0.13 0.22 0.82     1     0     5.5 -8.0 -9.3     0.5
sphere 0.17 0.68 0.25     1     0     -3.3 8.7 -9.6     0.2
sphere 0.93 0.09 0.02     1     0     2.9 6.1 -4.1     0.7
sphere 0.98 0.75 0.27     1     0     -9.1 4.1 -5.6     0.9
sphere 0.69 0.6 0.83     1     0     9.8 -6.2 -6.3     0.7
sphere 0.28 0.98 0.75     1     0     8.7 -2.6 -4.8     0.8
sphere 0.64 0.65 0.11     1     0     0.1 -0.7 -7.2     0.1
sphere 0.84 0.3 0.78     1     0     7.5 -5.8 -8.8     0.9
sphere 0.17 0.57 0.2     1     0     -5.5 4.4 -7.6     0.3
sphere 0.94 0.93 0.61     1     0     -0.9 -9.0 -5.4     0.8
sphere 0.29 0.08 0.33     1     0     -0.6 -4.1 -4.2     0.4
sphere 0.66 0.46 0.49     1     0     2.0 1.6 -9.6     0.1
sphere 0.05 0.83 0.41     1     0     -7.4 8.0 -7.3     0.5
sphere 0.94 0.33 0.74     1     0     3.9 4.5 -5.1     0.7
sphere 0.83 0.48 0.46     1     0     5.0 6.7 -9.7     0.2
sphere 0.66 0.32 0.48     1     0     -4.3 3.2 -6.5     0.6
sphere 0.44 0.62 0.61     1     0     5.4 -9.9 -7.2     0.3
sphere 0.56 0.21 0.29     1     0     -8.1 3.1 -8.1     0.5
sphere 0.27 0.19 0.23     1     0     -6.0 -0.8 -7.8     0.2
sphere 0.84 0.29 0.53     1     0     -1.6 8.4 -4.7     0.8
sphere 0.86 0.61 0.61     1     0     -4.7 5.1 -5.0     0.7
sphere 0.02 0.31 0.05     1     0     -6.8 4.6 -7.7     0.3
sphere 0.17 0.8 0.65     1     0     -9.0 4.6 -4.9     0.1
sphere 0.21 0.33 0.23     1     0     3.2 0.3 -7.8     0.1
sphere 0.92 0.93 0.84     1     0     -2.8 -7.9 -5.3     0.8
sphere 0.77 0.6 0.61     1     0     -5.7 -4.4 -9.3     0.7
sphere 0.76 0.18 0.74     1     0     9.6 -5.4 -7.9     0.9
sphere 0.33 0.21 0.92     1     0     7.5 -1.3 -9.9     0.8
sphere 0.76 0.75 0.08     1     0     -4.2 -0.4 -6.4     0.3
sphere 0.13 0.02 0.25     1     0     3.3 2.9 -8.3     0.7
sphere 0.19 0.77 0.12     1     0     -5.5 2.1 -9.7     0.1
sphere 0.68 0.64 0.96     1     0     -7.0 -7.7 -7.0     0.3
sphere 0.77 0.69 0.0     1     0     9.8 7.3 -8.1     0.7
sphere 0.66 0.53 0.47     1     0     -8.9 7.8 -7.3     0.7
sphere 0.29 0.61 0.98     1     0     -0.3 -1.1 -7.7     0.2
sphere 0.54 0.17 0.32     1     0     2.2 9.6 -5.4     0.2
sphere 0.36 0.76 0.69     1     0     0.4 -3.5 -5.2     0.1
sphere 0.9 0.95 0.0     1     0     4.7 3.3 -4.7     0.9
sphere 0.0 0.48 0.83     1     0     -4.8 7.6 -9.1     0.6
sphere 0.52 0.46 0.13     1     0     -6.1 0.9 -8.1     0.5
sphere 0.33 0.68 0.54     1     0     4.4 -0.7 -7.9     0.5
sphere 0.87 0.5 0.96     1     0     -4.8 0.5 -7.5     0.9
sphere 0.61 0.22 0.47     1     0     4.3 4.2 -7.0     0.5
sphere 0.39 0.73 0.44     1     0     9.8 8.0 -6.5     0.3
sphere 0.84 0.15 0.95     1     0     -4.2 1.4 -9.0     0.3
sphere 0.12 0.27 0.65     1     0     0.2 -1.4 -9.1     0.9
sphere 0.78 0.89 0.87     1     0     8.0 -8.7 -5.0     0.7
sphere 0.81 0.0 0.11     1     0     -6.3 2.0 -9.9     0.7
sphere 0.11 0.08 0.33     1     0     -4.4 -0.6 -4.5     0.1
sphere 0.92 0.49 0.51     1     0     5.7 6.7 -7.3     0.5
sphere 0.91 0.76 0.07     1     0     9.8 -5.6 -8.0     0.8
sphere 0.56 0.01 0.25     1     0     6.8 3.2 -5.8     0.4
sphere 0.04 0.76 0.65     1     0     3.2 7.8 -5.4     0.3
sphere 0.86 0.04 0.46     1     0     -3.9 6.7 -4.0     0.3
sphere 0.11 0.35 0.99     1     0     0.2 -1.0 -8.2     0.7
sphere 0.51 0.75 0.25     1     0     3.2 -9.7 -8.7     0.2
sphere 0.11 0.7 0.36     1     0     8.5 4.3 -9.8     0.6
sphere 0.44 0.35 0.28     1     0     5.5 -5.1 -6.9     0.7
sphere 0.73 0.0 0.33     1     0     -5.6 0.4 -7.2     0.2
sphere 0.71 0.09 0.64     1     0     -2.5 -1.3 -4.7     0.9
sphere 0.32 0.68 0.73     1     0     -3.6 7.7 -6.8     0.7
sphere 0.72 0.61 0.98     1     0     -3.8 9.3 -6.1     0.8
sphere 0.87 0.58 0.75     1     0     -9.3 2.3 -4.7     0.5
sphere 0.08 0.48 0.81     1     0     -4.4 7.3 -8.4     0.4
sphere 0.4 0.52 0.45     1     0     3.2 3.7 -4.0     0.5
sphere 0.31 0.36 0.11     1     0     0.2 7.2 -8.7     0.6
sphere 0.09 0.7 0.22     1     0     2.1 -2.0 -6.2     0.4
sphere 0.73 0.34 0.23     1     0     9.1 7.4 -9.9     0.4
sphere 0.63 0.94 0.25     1     0     -4.0 8.8 -5.5     0.5
sphere 0.26 0.29 0.25     1     0     -3.7 5.8 -6.2     0.3
sphere 0.99 0.13 0.15     1     0     -8.0 7.3 -8.2     0.8
sphere 0.78 0.0 0.97     1     0     3.8 -9.0 -9.4     0.8
sphere 0.47 0.79 0.4     1     0     2.6 4.7 -9.5     0.5
sphere 0.62 0.23 0.97     1     0     3.0 -2.9 -6.5     0.4
sphere 0.96 0.73 0.16     1     0     -8.7 3.4 -9.1     0.7
sphere 0.61 0.69 0.04     1     0     2.8 -1.2 -6.5     0.3
sphere 0.58 0.15 0.89     1     0     3.2 1.7 -6.0     0.1
sphere 0.01 0.86 0.26     1     0     -0.3 4.8 -4.6     0.6
sphere 0.46 0.78 0.33     1     0     -5.3 4.0 -5.6     0.4
sphere 0.34 0.6 0.78     1     0     -1.3 -0.7 -5.1     0.8
sphere 0.54 0.26 0.53     1     0     7.9 9.2 -6.3     0.6
sphere 0.51 0.35 0.57     1     0     -5.4 4.6 -4.8     0.4
sphere 0.12 0.92 0.34     1     0     -4.0 4.2 -6.7     0.7
sphere 0.25 0.18 0.94     1     0     -6.2 2.1 -9.1     0.1
sphere 0.22 0.53 0.63     1     0     -6.6 6.1 -7.3     0.9
sphere 0.92 0.4 0.62     1     0     -2.4 -3.6 -7.5     0.1
sphere 0.5 0.12 0.88     1     0     -5.9 -8.5 -5.3     0.5
sphere 0.6 0.8 0.12     1     0     1.5 9.0 -6.1     0.5
sphere 0.46 0.46 0.71     1     0     4.2 -3.5 -6.2     0.1
sphere 0.52 0.15 0.44     1     0     7.3 5.5 -5.2     0.9
sphere 0.22 0.99 0.36     1     0     -1.0 -1.7 -8.3     0.9
sphere 0.62 0.99 0.94     1     0     1.4 -8.0 -6.4     0.5
sphere 0.59 0.8 0.18     1     0     -5.8 6.3 -9.1     0.6
sphere 0.53 0.8 0.78     1     0     4.6 0.3 -9.4     0.2
sphere 0.1 0.2 0.43     1     0     -4.2 -2.0 -6.0     0.5
sphere 0.9 0.34 0.77     1     0     6.5 0.1 -5.7     0.8
sphere 0.99 0.46 0.95     1     0     5.0 3.3 -6.8     0.7
sphere 0.21 0.23 0.02     1     0     -6.8 8.6 -5.5     0.5
sphere 0.95 0.89 0.95     1     0     -8.0 -4.7 -5.0     0.7
sphere 0.13 0.12 0.08     1     0     2.1 4.0 -4.3     0.1
sphere 0.98 0.5 0.67     1     0     9.5 -7.9 -4.6     0.5
sphere 0.79 0.19 0.1     1     0     6.7 -0.1 -5.9     0.4
sphere 0.31 0.94 0.36     1     0     1.3 6.0 -4.8     0.3
sphere 0.67 0.21 0.03     1     0     -9.2 6.9 -6.2     0.6
sphere 0.6 0.59 0.69     1     0     -3.1 4.0 -6.8     0.3
sphere 0.89 0.69 0.22     1     0     5.1 5.2 -6.9     0.7
sphere 0.67 0.81 0.81     1     0     3.6 -2.1 -9.8     0.6
sphere 0.61 0.69 0.29     1     0     -7.8 1.3 -5.9     0.6
sphere 0.52 0.33 0.19     1     0     -2.3 -9.8 -4.0     0.9
sphere 0.97 0.17 0.44     1     0     -2.7 2.0 -7.4     0.1
sphere 0.88 0.62 0.96     1     0     2.2 -2.4 -4.0     0.7
sphere 0.37 0.76 0.29     1     0     -9.9 4.0 -6.3     0.4
sphere 0.52 0.71 0.55     1     0     0.1 -3.7 -5.0     0.7
sphere 0.48 0.28 0.33     1     0     -8.0 0.8 -8.0     0.4
sphere 0.66 0.97 0.78     1     0     7.7 7.5 -5.7     0.5
sphere 0.83 0.95 0.68     1     0     -3.2 0.5 -5.2     0.2
sphere 0.23 0.17 0.37     1     0     -7.2 6.3 -6.9     0.8
sphere 0.34 0.89 0.79     1     0     2.5 -5.2 -6.0     0.1
sphere 0.19 0.06 0.68     1     0     -9.5 -5.3 -4.6     0.5
sphere 0.34 0.16 0.91     1     0     1.2 8.6 -4.0     0.4
sphere 0.11 0.19 0.01     1     0     2.6 -4.5 -6.1     0.7
sphere 0.39 0.63 0.47     1     0     1.8 7.8 -9.0     0.1
sphere 0.42 0.1 0.96     1     0     -6.3 -8.6 -5.7     0.7
sphere 0.09 0.69 0.6     1     0     -5.4 -5.1 -9.7     0.5
sphere 0.48 0.01 0.15     1     0     9.6 8.2 -5.5     0.7
sphere 0.98 0.56 0.31     1     0     8.8 -9.2 -5.2     0.8
sphere 0.94 0.98 0.12     1     0     3.3 7.0 -5.3     0.8
sphere 0.49 0.87 0.39     1     0     -1.8 -6.0 -8.0     0.1
sphere 0.95 0.7 0.66     1     0     -6.9 -3.6 -7.0     0.5
sphere 0.25 0.46 0.06     1     0     7.0 -4.5 -4.7     0.4
sphere 0.81 0.55 0.41     1     0     -9.7 -5.8 -9.0     0.5
sphere 0.74 0.15 0.5     1     0     -3.8 -9.8 -4.2     0.8
sphere 0.88 0.76 0.19     1     0     -0.5 9.7 -4.5     0.4
sphere 0.2 0.63 0.11     1     0     7.5 5.8 -6.1     0.1
sphere 0.07 0.45 0.82     1     0     -6.1 7.9 -7.4     0.2
sphere 0.16 0.62 0.29     1     0     -1.9 4.2 -9.0     0.6
sphere 0.56 0.93 0.24     1     0     -9.5 7.6 -6.4     0.6
sphere 0.92 0.17 0.32     1     0     -9.0 2.4 -8.5     0.8
sphere 0.71 0.37 0.69     1     0     7.8 2.5 -5.2     0.3
sphere 0.69 0.44 0.41     1     0     8.7 1.9 -5.7     0.9
sphere 0.2 0.08 0.67     1     0     -6.1 1.5 -5.8     0.5
sphere 0.69 0.46 0.58     1     0     -10.0 9.8 -8.0     0.9
sphere 0.48 0.93 0.23     1     0     -9.6 5.8 -9.4     0.6
sphere 0.99 0.79 0.3     1     0     -1.8 8.4 -4.4     0.9
sphere 0.49 0.24 0.67     1     0     7.4 2.7 -8.9     0.9
sphere 0.19 0.78 0.36     1     0     -1.8 0.4 -8.1     0.6
sphere 0.14 0.12 0.66     1     0     6.8 -8.3 -4.2     0.3
sphere 0.22 0.04 0.25     1     0     -7.3 2.4 -5.2     0.2
sphere 0.04 0.73 0.82     1     0     -0.1 6.8 -7.1     0.9
sphere 0.79 0.89 0.75     1     0     -3.5 -8.8 -6.3     0.4
sphere 0.77 0.91 0.09     1     0     -9.7 -4.7 -8.1     0.8
sphere 0.1 0.59 0.81     1     0     -8.5 -0.8 -7.5     0.7
sphere 0.47 0.9 0.07     1     0     5.7 -3.2 -7.3     0.1
sphere 0.93 0.09 0.38     1     0     -8.1 -4.5 -7.3     0.2
sphere 0.12 0.92 0.29     1     0     3.6 -0.2 -5.2     0.4
sphere 0.67 0.84 0.31     1     0     4.5 6.0 -5.1     0.9
sphere 0.95 0.71 0.53     1     0     9.1 -7.3 -8.9     0.6
sphere 0.86 0.58 0.89     1     0     7.0 0.9 -9.6     0.2
sphere 0.21 0.23 0.7     1     0     0.2 2.9 -6.1     0.3
sphere 0.68 0.76 0.56     1     0     -1.0 -2.0 -7.5     0.6
sphere 0.47 0.52 0.97     1     0     6.2 1.0 -9.2     0.6
sphere 0.77 0.3 0.72     1     0     3.9 -4.6 -6.4     0.9
sphere 0.95 0.32 0.46     1     0     1.5 1.4 -6.5     0.1
sphere 0.92 0.04 0.36     1     0     5.2 -9.6 -7.3     0.3
sphere 0.38 0.0 0.38     1     0     -4.4 -4.6 -9.4     0.6
